Testcase;Method;# ES;# Switches;# Streams;# Tasks;Total cost;Routing cost;Scheduling cost;Bandwidth use (Mean;%);CPU use (Mean;%);Optimization Time (ms);Total Runtime (ms);Infeasible apps;Overlapping number;Stream with overlap
TC1_automotive;CP;20;32;25;47;10520;150;10370;7;273;3632527;3642686;0/10;0;0
TC1_automotive;SA;20;32;25;47;13597;149;13448;7;273;1800985;1805779;0/10;0;0
TC1_automotive_redundant;CP;20;32;84;74;2831119;2600408;230711;10;308;3685239;3705955;0/19;52;30
TC1_automotive_redundant;SA;20;32;84;74;4139671;4100421;39250;11;308;1805020;1820241;0/19;82;38
TC2_zhao_case_study;CP;6;2;29;28;3771;30;3741;147;1930;129865;131856;0/5;0;0
TC2_zhao_case_study;SA;6;2;29;28;5960;30;5930;147;1930;1800108;1801497;0/5;0;0
tiny1;CP;4;2;2;9;432;4;428;3;333;145;4104;0/3;0;0
tiny1;SA;4;2;2;9;2746;4;2742;3;333;1800021;1800792;0/3;0;0
tiny2;CP;4;2;1;6;3525;2;3523;0;431;60;797;0/2;0;0
tiny2;SA;4;2;1;6;3525;2;3523;0;431;1800034;1800635;0/2;0;0
tiny3;CP;4;2;6;12;5463;12;5451;2;683;15136;17286;0/6;0;0
tiny3;SA;4;2;6;12;9937;16;9921;3;683;1800059;1802320;0/6;0;0
small1;CP;8;4;8;17;9932;18;9914;1;679;12532;14542;0/6;0;0
small1;SA;8;4;8;17;13607;20;13587;1;679;1800149;1802024;0/6;0;0
small2;CP;8;4;8;21;21408;27;21381;0;894;384539;385871;0/5;0;0
small2;SA;8;4;8;21;34202;30;34172;0;894;1800253;1801619;0/5;0;0
small3;CP;8;4;10;27;18813;30;18783;1;1550;1803691;1807538;0/8;0;0
small3;SA;8;4;10;27;19491;33;19458;1;1550;1800291;1803909;0/8;0;0
medium1;CP;16;8;7;32;10404;28;10376;1;796;36355;38643;0/7;0;0
medium1;SA;16;8;7;32;14969;28;14941;1;796;1800123;1801765;0/7;0;0
medium2;CP;16;8;15;35;8403;58;8345;1;745;2115452;2117610;0/8;0;0
medium2;SA;16;8;15;35;421025;400055;20970;1;745;1800186;1802146;0/8;8;6
medium3;CP;16;8;8;40;17747;36;17711;1;899;1806175;1811037;0/11;0;0
medium3;SA;16;8;8;40;24161;36;24125;1;899;1800247;1804882;0/11;0;0
large1;CP;32;16;23;62;212095;200120;11975;1;552;3622054;3626092;0/15;4;4
large1;SA;32;16;23;62;829891;800107;29784;1;552;1800398;1804551;0/15;16;8
large2;CP;32;16;17;67;439406;400150;39256;2;673;3617473;3627118;0/11;8;5
large2;SA;32;16;17;67;1229567;1200130;29437;1;673;1805146;1814040;0/11;24;10
large3;CP;32;16;11;70;19653;63;19590;1;752;2382701;2389240;0/12;0;0
large3;SA;32;16;11;70;31129;66;31063;1;752;1800403;1806223;0/12;0;0
huge1;CP;48;24;31;104;372411;300364;72047;2;732;3659809;3678772;0/31;6;3
huge1;SA;48;24;31;104;1569853;1500207;69646;1;732;1801671;1816726;0/31;30;10
huge2;CP;48;24;40;133;781495;600305;181190;2;911;3671176;3691031;0/28;12;9
huge2;SA;48;24;40;133;84961;193;84768;1;911;1801266;1813439;0/28;0;0
huge3;SA;48;24;40;155;3402789;3300299;102490;2;1153;1802331;1823644;0/40;66;18
giant1;SA;64;32;58;211;13706735;13600521;106214;3;1098;1806971;1846586;0/42;272;33
giant2;SA;128;64;118;414;72794030;72201431;592599;2;1089;1825108;1902154;2/95;1444;76
giant3;SA;256;128;191;798;109624430;108402792;1221638;4;1122;1848272;2010900;6/188;2168;94
TC0_example;CP_ROUTING_CP_SCHEDULING;4;2;6;9;467;16;451;2.46;14.00;850;1595;0/3;0;0
TC0_example;SA_ROUTING_SA_SCHEDULING_COMB;4;2;6;9;477;16;461;2.46;14.00;60039;60749;0/3;0;0
