,Testcase,Edge Applications used,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Avg. maximum unattested time,Avg. time spent attesting,Avg. worst case response time,Avg. avg response time,Avg. edge app latency,Tstart,alpha,Prmv,k,a,b,w
0,RA_example,testcases/ra/RA_example_edge_apps_0.flex_network_description,True,True,CHECK_EDGE_APPLICATIONS,10,5,14,14,45,5780,40,5740,5740,,0.6785714285714288,39.375,1541,0,1561,0/31,0,0,150.00,578.00,237.50,17915.84,79.75,10,0.999,0.8,5,50000,100000,10
0,RA_example,testcases/ra/RA_example_edge_apps_1.flex_network_description,True,True,CHECK_EDGE_APPLICATIONS,10,5,14,14,45,5896,44,5852,5852,,0.735714285714286,39.14000000000001,1009,0,1034,0/31,0,0,150.00,578.00,240.83,21984.76,107.83,10,0.999,0.8,5,50000,100000,10
0,RA_example,testcases/ra/RA_example_edge_apps_2.flex_network_description,True,True,CHECK_EDGE_APPLICATIONS,10,5,14,14,45,6789,43,6746,6746,,0.7214285714285715,39.455,1236,0,1249,0/31,0,0,150.00,578.00,259.33,30205.40,185.17,10,0.999,0.8,5,50000,100000,10
0,RA_example,testcases/ra/RA_example_edge_apps_3.flex_network_description,True,True,CHECK_EDGE_APPLICATIONS,10,5,14,14,45,6457,39,6418,6418,,0.6642857142857145,39.175000000000004,967,0,976,0/31,0,0,150.00,578.00,241.33,24011.83,148.33,10,0.999,0.8,5,50000,100000,10
0,RA_example,testcases/ra/RA_example_edge_apps_4.flex_network_description,True,True,CHECK_EDGE_APPLICATIONS,10,5,14,14,45,6487,41,6446,6446,,0.6928571428571431,39.019999999999996,1120,0,1129,0/31,0,0,150.00,578.00,252.67,21002.09,134.67,10,0.999,0.8,5,50000,100000,10
0,RA_example,testcases/ra/RA_example_edge_apps_5.flex_network_description,True,True,CHECK_EDGE_APPLICATIONS,10,5,14,14,45,5968,42,5926,5926,,0.7071428571428572,38.675000000000004,1140,0,1149,0/31,0,0,150.00,578.00,240.00,21697.77,109.00,10,0.999,0.8,5,50000,100000,10
0,RA_example,testcases/ra/RA_example_edge_apps_6.flex_network_description,True,True,CHECK_EDGE_APPLICATIONS,10,5,14,14,45,5748,40,5708,5708,,0.6785714285714288,39.26,2357,0,2388,0/31,0,0,150.00,578.00,250.17,16993.63,65.33,10,0.999,0.8,5,50000,100000,10
0,RA_example,testcases/ra/RA_example_edge_apps_7.flex_network_description,True,True,CHECK_EDGE_APPLICATIONS,10,5,14,14,45,6262,42,6220,6220,,0.7071428571428574,39.31,1841,0,1854,0/31,0,0,150.00,578.00,250.67,21623.49,115.83,10,0.999,0.8,5,50000,100000,10
0,RA_example,testcases/ra/RA_example_edge_apps_0.flex_network_description,True,True,CHECK_EDGE_APPLICATIONS,10,5,14,14,45,5743,40,5703,5703,,0.6785714285714288,39.375,1299,0,1302,0/31,0,0,425.00,852.00,356.67,25232.65,121.75,10,0.999,0.8,5,50000,100000,10
0,RA_example,testcases/ra/RA_example_edge_apps_1.flex_network_description,True,True,CHECK_EDGE_APPLICATIONS,10,5,14,14,45,5547,44,5503,5503,,0.735714285714286,39.14000000000001,1123,0,1138,0/31,0,0,425.00,852.00,360.83,30459.98,180.83,10,0.999,0.8,5,50000,100000,10
0,RA_example,testcases/ra/RA_example_edge_apps_2.flex_network_description,True,True,CHECK_EDGE_APPLICATIONS,10,5,14,14,45,6470,43,6427,6427,,0.7214285714285715,39.455,1022,0,1022,0/31,0,0,425.00,852.00,375.00,44862.35,215.00,10,0.999,0.8,5,50000,100000,10
0,RA_example,testcases/ra/RA_example_edge_apps_3.flex_network_description,True,True,CHECK_EDGE_APPLICATIONS,10,5,14,14,45,5939,39,5900,5900,,0.6642857142857145,39.175000000000004,1174,0,1196,0/31,0,0,425.00,852.00,360.17,34771.75,166.25,10,0.999,0.8,5,50000,100000,10
0,RA_example,testcases/ra/RA_example_edge_apps_4.flex_network_description,True,True,CHECK_EDGE_APPLICATIONS,10,5,14,14,45,5756,41,5715,5715,,0.6928571428571431,39.019999999999996,928,0,938,0/31,0,0,425.00,852.00,375.00,33834.46,161.67,10,0.999,0.8,5,50000,100000,10
0,RA_example,testcases/ra/RA_example_edge_apps_5.flex_network_description,True,True,CHECK_EDGE_APPLICATIONS,10,5,14,14,45,5331,42,5289,5289,,0.7071428571428572,38.675000000000004,1330,0,1340,0/31,0,0,425.00,852.00,360.83,30970.14,109.83,10,0.999,0.8,5,50000,100000,10
0,RA_example,testcases/ra/RA_example_edge_apps_6.flex_network_description,True,True,CHECK_EDGE_APPLICATIONS,10,5,14,14,45,5631,40,5591,5591,,0.6785714285714288,39.26,1738,0,1748,0/31,0,0,425.00,852.00,358.00,25406.44,101.50,10,0.999,0.8,5,50000,100000,10
0,RA_example,testcases/ra/RA_example_edge_apps_7.flex_network_description,True,True,CHECK_EDGE_APPLICATIONS,10,5,14,14,45,6106,42,6064,6064,,0.7071428571428574,39.31,1911,0,1929,0/31,0,0,425.00,852.00,366.33,29897.60,186.17,10,0.999,0.8,5,50000,100000,10
