,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b,w
0,batch00,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,14,21,29,13822,36,13786,13744,,0.06256172839506172,1.4271250000000002,115,0,145,0/11,0,0,10,0.999,0.8,5,50000,10000,10
0,batch01,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,13,21,27,7319,39,7280,7259,,0.11589506172839507,1.3782916666666667,114,0,146,0/9,0,0,10,0.999,0.8,5,50000,10000,10
0,batch02,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,24,30,31,18809,57,18752,18679,,0.11530555555555556,1.3987916666666667,259,0,291,0/10,0,0,10,0.999,0.8,5,50000,10000,10
0,batch03,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,25,37,36,27846,66,27780,27615,,0.09106481481481478,1.871625,247,0,277,0/9,0,0,10,0.999,0.8,5,50000,10000,10
0,batch04,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,16,29,29,15177,50,15127,15085,,0.11385030864197532,1.732125,156,0,189,0/10,0,0,10,0.999,0.8,5,50000,10000,10
0,batch05,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,33,61,37,22000,102,21898,21804,,0.16160185185185172,1.3130416666666667,433,0,474,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch06,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,26,46,37,10668,83,10585,10461,,0.124395061728395,1.813354166666667,556,0,601,0/12,0,0,10,0.999,0.8,5,50000,10000,10
0,batch07,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,16,26,27,6476,46,6430,6409,,0.1312962962962963,1.8797916666666667,94,0,123,0/7,0,0,10,0.999,0.8,5,50000,10000,10
0,batch08,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,16,30,33,13833,49,13784,13711,,0.11599537037037039,1.8413958333333333,178,0,212,0/9,0,0,10,0.999,0.8,5,50000,10000,10
0,batch09,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,35,56,41,11543,101,11442,11266,,0.23474537037037033,2.0196875,336,0,368,0/12,0,0,10,0.999,0.8,5,50000,10000,10
0,batch010,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,38,59,39,11310,108,11202,11056,,0.1995123456790124,1.8010000000000006,508,0,548,0/10,0,0,10,0.999,0.8,5,50000,10000,10
0,batch011,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,15,18,26,10362,35,10327,10306,,0.08372685185185186,1.3360833333333333,101,0,132,0/12,0,0,10,0.999,0.8,5,50000,10000,10
0,batch012,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,26,50,35,13470,77,13393,13330,,0.11563888888888896,1.9021250000000003,450,0,480,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch013,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,21,35,29,10315,59,10256,10214,,0.11380555555555556,1.6346874999999996,191,0,220,0/7,0,0,10,0.999,0.8,5,50000,10000,10
0,batch014,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,25,44,35,12577,78,12499,12405,,0.16072222222222227,1.7605833333333334,365,0,402,0/9,0,0,10,0.999,0.8,5,50000,10000,10
0,batch015,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,27,36,34,17513,67,17446,17342,,0.08318981481481483,1.4098125,283,0,318,0/11,0,0,10,0.999,0.8,5,50000,10000,10
0,batch016,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,31,51,37,12569,86,12483,12278,,0.2516203703703703,1.7543750000000005,327,0,359,0/12,0,0,10,0.999,0.8,5,50000,10000,10
0,batch017,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,21,26,31,18104,47,18057,17994,,0.06978703703703701,1.5724166666666668,198,0,230,0/14,0,0,10,0.999,0.8,5,50000,10000,10
0,batch018,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,32,57,40,22628,103,22525,22324,,0.11858024691358025,1.573125,318,0,348,0/11,0,0,10,0.999,0.8,5,50000,10000,10
0,batch019,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,43,31,8262,69,8193,8141,,0.10408024691358017,1.1439583333333332,330,0,366,0/13,0,0,10,0.999,0.8,5,50000,10000,10
0,batch020,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,12,24,30,10655,40,10615,10573,,0.09535493827160495,1.723395833333333,166,0,197,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch021,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,29,38,37,12069,71,11998,11883,,0.14535493827160498,2.2336875000000007,376,0,419,0/13,0,0,10,0.999,0.8,5,50000,10000,10
0,batch022,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,27,60,38,13047,102,12945,12841,,0.15836265432098767,1.7089166666666666,489,0,529,0/10,0,0,10,0.999,0.8,5,50000,10000,10
0,batch023,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,22,50,33,10091,76,10015,9957,,0.11671296296296299,1.9021875000000001,261,0,289,0/7,0,0,10,0.999,0.8,5,50000,10000,10
0,batch024,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,20,32,30,11703,51,11652,11589,,0.12311419753086418,1.698375,148,0,179,0/10,0,0,10,0.999,0.8,5,50000,10000,10
