,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b,w
0,batch10,True,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,15,20,29,35785,36,35749,35707,,0.05046296296296297,7.07375,80,0,105,0/10,0,0,10,0.999,0.8,5,50000,10000,10
0,batch11,True,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,14,27,33,17629,45,17584,17511,,0.11447530864197528,7.086354166666667,92,0,118,0/9,0,0,10,0.999,0.8,5,50000,10000,10
0,batch12,True,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,10,16,26,15997,26,15971,15950,,0.09236111111111109,7.0391666666666675,50,0,74,0/10,0,0,10,0.999,0.8,5,50000,10000,10
0,batch13,True,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,16,33,38,27548,59,27489,27365,,0.06842592592592595,5.091625,298,0,328,0/10,0,0,10,0.999,0.8,5,50000,10000,10
0,batch14,True,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,15,22,33,29060,41,29019,18925,app23,0.06873456790123453,6.145833333333333,135,0,165,1/12,0,0,10,0.999,0.8,5,50000,10000,10
0,batch15,True,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,14,25,33,59480,42,59438,59375,,0.029583333333333333,7.6815,74,0,99,0/9,0,0,10,0.999,0.8,5,50000,10000,10
0,batch16,True,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,15,22,31,19469,40,19429,19356,,0.09493827160493828,7.586354166666667,79,0,104,0/9,0,0,10,0.999,0.8,5,50000,10000,10
0,batch17,True,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,15,25,32,35814,44,35770,35697,,0.07699382716049381,6.728999999999999,157,0,187,0/9,0,0,10,0.999,0.8,5,50000,10000,10
0,batch18,True,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,17,23,34,23359,41,23318,23214,,0.05107407407407406,6.357125,117,0,143,0/10,0,0,10,0.999,0.8,5,50000,10000,10
0,batch19,True,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,14,21,28,24500,38,24462,24420,,0.09108024691358028,9.018541666666668,90,0,119,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch110,True,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,15,24,32,32442,39,32403,32340,,0.0724953703703704,8.0605,113,0,140,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch111,True,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,17,28,36,50031,51,49980,39876,app30,0.03527777777777779,9.269625,118,0,144,1/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch112,True,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,14,18,30,26332,32,26300,26237,,0.07070987654320987,7.032958333333333,119,0,149,0/10,0,0,10,0.999,0.8,5,50000,10000,10
0,batch113,True,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,18,26,35,49183,48,49135,49030,,0.03200925925925927,6.004770833333333,125,0,153,0/11,0,0,10,0.999,0.8,5,50000,10000,10
0,batch114,True,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,13,23,30,30679,38,30641,20599,app11,0.09959876543209874,8.43475,83,0,108,1/7,0,0,10,0.999,0.8,5,50000,10000,10
0,batch115,True,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,16,25,31,17241,44,17197,17124,,0.13356481481481486,7.857708333333334,105,0,131,0/11,0,0,10,0.999,0.8,5,50000,10000,10
