,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b,w
0,batch30,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,12,18,24,4565,27,4538,4538,,0.00899074074074074,1.4395000000000002,72,0,98,0/7,0,0,10,0.999,0.8,5,50000,10000,10
0,batch31,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,13,20,24,3553,37,3516,3516,,0.017361111111111112,1.4967708333333334,76,0,102,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch32,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,11,22,24,2607,35,2572,2572,,0.01005401234567901,1.414583333333333,55,0,78,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch33,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,12,17,24,3684,30,3654,3654,,0.008324074074074076,1.652020833333333,64,0,90,0/5,0,0,10,0.999,0.8,5,50000,10000,10
0,batch34,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,15,22,24,2470,42,2428,2428,,0.018078703703703704,1.5788541666666667,59,0,84,0/5,0,0,10,0.999,0.8,5,50000,10000,10
0,batch35,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,11,13,24,6887,24,6863,6863,,0.006006172839506172,1.5071249999999998,60,0,85,0/12,0,0,10,0.999,0.8,5,50000,10000,10
0,batch36,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,11,18,24,1955,30,1925,1925,,0.011041666666666667,1.44875,56,0,80,0/7,0,0,10,0.999,0.8,5,50000,10000,10
0,batch37,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,12,21,24,3468,34,3434,3434,,0.013464506172839508,1.6241666666666668,57,0,82,0/7,0,0,10,0.999,0.8,5,50000,10000,10
0,batch38,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,16,21,24,3313,39,3274,3274,,0.019895061728395065,1.4381666666666668,69,0,95,0/5,0,0,10,0.999,0.8,5,50000,10000,10
0,batch39,False,False,SA_ROUTING_SA_SCHEDULING_COMB,16,8,12,21,24,1945,36,1909,1909,,0.012183641975308643,1.2490625000000002,61,0,84,0/7,0,0,10,0.999,0.8,5,50000,10000,10
