,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b,w
0,batch30,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,13,19,24,4567,29,4538,4538,,0.009669753086419751,1.4395000000000002,75,0,102,0/7,0,0,10,0.999,0.8,5,50000,10000,10
0,batch31,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,16,29,24,3566,50,3516,3516,,0.025879629629629614,1.4967708333333334,111,0,136,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch32,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,12,26,24,2611,39,2572,2572,,0.011041666666666665,1.414583333333333,63,0,87,0/8,0,0,10,0.999,0.8,5,50000,10000,10
0,batch33,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,15,23,24,3692,38,3654,3654,,0.010824074074074078,1.652020833333333,88,0,114,0/5,0,0,10,0.999,0.8,5,50000,10000,10
0,batch34,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,16,24,24,2473,45,2428,2428,,0.020023148148148154,1.5788541666666667,65,0,90,0/5,0,0,10,0.999,0.8,5,50000,10000,10
0,batch35,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,15,17,24,6895,32,6863,6863,,0.007722222222222221,1.5071249999999998,74,0,100,0/12,0,0,10,0.999,0.8,5,50000,10000,10
0,batch36,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,13,20,24,1959,34,1925,1925,,0.011658950617283951,1.44875,62,0,86,0/7,0,0,10,0.999,0.8,5,50000,10000,10
0,batch37,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,16,27,24,3479,45,3434,3434,,0.017507716049382716,1.6241666666666668,74,0,99,0/7,0,0,10,0.999,0.8,5,50000,10000,10
0,batch38,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,18,23,24,3317,43,3274,3274,,0.02008024691358025,1.4381666666666668,76,0,101,0/5,0,0,10,0.999,0.8,5,50000,10000,10
0,batch39,False,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,19,32,24,1981,56,1925,1925,,0.018063271604938275,1.2490625000000002,106,0,130,0/7,0,0,10,0.999,0.8,5,50000,10000,10
