,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b,w
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580068,0,580105,0/5,0,0,10000,0.999999,0.1,5,50000,10000,5
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.4649999999999999,19.302083333333332,580083,0,580105,0/5,0,0,10000,0.9,0.9,30,50000,10000,10
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580079,0,580101,0/5,0,0,1,0.9999,0.5,10,50000,10000,1000
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.4650000000000003,19.302083333333332,580035,0,580059,0/5,0,0,1,0.8,0.5,30,50000,10000,1000
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580028,0,580051,0/5,0,0,10,0.999999,0.9,5,50000,10000,5
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580059,0,580083,0/5,0,0,10000,0.9999,0.1,15,50000,10000,10
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580012,0,580034,0/5,0,0,10000,0.99,0.7,15,50000,10000,10
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580007,0,580027,0/5,0,0,1,0.9,0.7,5,50000,10000,5
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580093,0,580116,0/5,0,0,1,0.9999,0.7,20,50000,10000,10
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.4650000000000005,19.302083333333332,580035,0,580060,0/5,0,0,1,0.9,0.5,30,50000,10000,5
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.4650000000000003,19.302083333333332,580064,0,580085,0/5,0,0,10000,0.9999,0.1,30,50000,10000,10
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580025,0,580050,0/5,0,0,1,0.9999,0.1,30,50000,10000,10
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580098,0,580119,0/5,0,0,10000,0.999999,0.1,5,50000,10000,5
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580010,0,580035,0/5,0,0,1,0.9999,0.1,30,50000,10000,10
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.4650000000000003,19.302083333333332,580045,0,580067,0/5,0,0,1,0.99,0.1,30,50000,10000,10
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580096,0,580121,0/5,0,0,1,0.99,0.1,30,50000,10000,10
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580023,0,580044,0/5,0,0,10000,0.999999,0.1,5,50000,10000,5
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580106,0,580132,0/5,0,0,1,0.99,0.1,30,50000,10000,10
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.4649999999999996,19.302083333333332,580037,0,580059,0/5,0,0,1,0.99,0.1,30,50000,10000,1000
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.4650000000000003,19.302083333333332,580041,0,580066,0/5,0,0,1,0.99,0.1,30,50000,10000,1000
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.4650000000000003,19.302083333333332,580044,0,580068,0/5,0,0,1,0.99,0.1,30,50000,10000,1000
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580016,0,580042,0/5,0,0,10000,0.999999,0.1,5,50000,10000,5
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.465,19.302083333333332,580036,0,580058,0/5,0,0,1,0.99,0.1,30,50000,10000,1000
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.4649999999999996,19.302083333333332,580030,0,580056,0/5,0,0,1,0.99,0.1,10,50000,10000,1000
0,TC2_zhao_case_study,True,True,SA_ROUTING_SA_SCHEDULING_COMB,6,2,29,31,28,6114,30,6084,5930,,1.4649999999999999,19.302083333333332,580070,0,580093,0/5,0,0,1,0.99,0.1,10,50000,10000,1000
