,Index,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b,w
0,0,tiny1,True,True,CP_ROUTING_CP_SCHEDULING,4,2,2,2,6,1708,4,1704,1687,,0.005202962962962963,1.8853333333333333,162,0,202,0/4,0,0,10,0.9990000000000001,0.8,5,50000,10000,10
0,0,tiny2,True,True,CP_ROUTING_CP_SCHEDULING,4,2,3,4,6,1732,7,1725,1725,,0.018013333333333333,4.12125,147,0,177,0/1,0,0,10,0.9990000000000001,0.8,5,50000,10000,10
0,0,tiny3,True,True,CP_ROUTING_CP_SCHEDULING,4,2,11,13,15,7450,24,7426,7375,,0.00912,5.2505000000000015,860016,0,860062,0/5,0,0,10,0.9990000000000001,0.8,5,50000,10000,10
0,0,small1,True,True,CP_ROUTING_CP_SCHEDULING,8,4,10,16,20,5421,26,5395,5361,,0.011777368421052632,5.6347916666666675,2118,0,2163,0/7,0,0,10,0.9990000000000001,0.8,5,50000,10000,10
0,0,small2,True,True,CP_ROUTING_CP_SCHEDULING,8,4,14,20,23,9110,34,9076,9042,,0.007407157894736844,5.007375,3603680,0,3603731,0/10,0,0,10,0.9990000000000001,0.8,5,50000,10000,10
0,0,small3,True,True,CP_ROUTING_CP_SCHEDULING,8,4,29,48,35,7705,74,7631,7563,,0.02556385964912281,7.709583333333334,1054442,0,1054492,0/12,0,0,10,0.9990000000000001,0.8,5,50000,10000,10
0,0,medium1,True,True,CP_ROUTING_CP_SCHEDULING,16,8,23,34,37,12991,57,12934,12865,,0.0072881650793650814,4.879625000000001,269616,0,269673,0/14,0,0,10,0.9990000000000001,0.8,5,50000,10000,10
0,0,medium2,True,True,CP_ROUTING_CP_SCHEDULING,16,8,30,47,43,6552,76,6476,6391,,0.0165462893081761,4.6902083333333335,311733,0,311792,0/12,0,0,10,0.9990000000000001,0.8,5,50000,10000,10
0,0,medium3,True,True,CP_ROUTING_CP_SCHEDULING,16,8,36,53,47,15515,87,15428,15342,,0.011979123809523809,6.086666666666668,3698228,0,3698295,0/13,0,0,10,0.9990000000000001,0.8,5,50000,10000,10
0,0,large2,True,True,CP_ROUTING_CP_SCHEDULING,32,16,37,77,72,25199,214,24985,24882,,0.008551092846270928,4.457479166666666,3289239,0,3289327,0/22,0,0,10,0.9990000000000001,0.8,5,50000,10000,10
