,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b
0,medium1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,34,37,23048,60,22988,22890,,0.01,4.88,40289,0,40327,0/14,0,0,100000000,0.999999,0.1,5,50000,10000
0,medium1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,34,37,22889,64,22825,22727,,0.01,4.88,40366,0,40394,0/14,0,0,1,0.999,0.5,30,50000,10000
0,medium1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,34,37,23051,63,22988,22890,,0.01,4.88,40847,0,40875,0/14,0,0,1,0.9999,0.7,20,50000,10000
0,medium1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,34,37,23537,60,23477,23379,,0.01,4.88,40632,0,40664,0/14,0,0,100000000,0.999999,0.6,30,50000,10000
0,medium1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,34,37,22888,63,22825,22727,,0.01,4.88,40403,0,40436,0/14,0,0,1000,0.99999,0.1,15,50000,10000
0,medium1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,34,37,23051,63,22988,22890,,0.01,4.88,40381,0,40411,0/14,0,0,10,0.9999,0.4,15,50000,10000
0,medium1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,34,37,23051,63,22988,22890,,0.01,4.88,40525,0,40554,0/14,0,0,100000,0.999,0.1,5,50000,10000
0,medium1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,34,37,23048,60,22988,22890,,0.01,4.88,40377,0,40406,0/14,0,0,100000,0.9999,0.2,20,50000,10000
0,medium1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,34,37,23053,65,22988,22890,,0.01,4.88,40651,0,40681,0/14,0,0,100000,0.999,0.2,15,50000,10000
0,medium1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,34,37,22885,60,22825,22727,,0.01,4.88,40399,0,40428,0/14,0,0,10,0.99,0.2,15,50000,10000
0,medium1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,34,37,23058,65,22993,22892,,0.01,4.88,40455,0,40485,0/14,0,0,10,0.99,0.5,15,50000,10000
0,medium1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,34,37,23048,60,22988,22890,,0.01,4.88,40562,0,40591,0/14,0,0,100000000,0.999999,0.1,5,50000,10000
0,medium1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,34,37,22898,73,22825,22727,,0.01,4.88,40651,0,40681,0/14,0,0,10,0.99,0.5,15,50000,10000
0,medium1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,34,37,23225,65,23160,23058,,0.01,4.88,40481,0,40513,0/14,0,0,1000000,0.99,0.5,15,50000,10000
0,medium1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,34,37,22904,74,22830,22728,,0.01,4.88,40325,0,40357,0/14,0,0,1000000,0.99,0.5,15,50000,10000
0,medium1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,23,34,37,22885,60,22825,22727,,0.01,4.88,40467,0,40497,0/14,0,0,100000000,0.999999,0.1,5,50000,10000
