,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b
0,small1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,10,16,20,13303,26,13277,13233,,0.01,5.63,580103,0,580127,0/7,0,0,100000000,0.999999,0.1,5,50000,10000
0,small1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,10,16,20,13303,26,13277,13233,,0.01,5.63,580151,0,580169,0/7,0,0,1,0.999,0.5,30,50000,10000
0,small1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,10,16,20,13305,28,13277,13233,,0.01,5.63,580109,0,580129,0/7,0,0,1,0.9999,0.7,20,50000,10000
0,small1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,10,16,20,13305,28,13277,13233,,0.01,5.63,580159,0,580177,0/7,0,0,100000000,0.999999,0.6,30,50000,10000
0,small1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,10,16,20,13303,26,13277,13233,,0.01,5.63,580136,0,580155,0/7,0,0,1000,0.99999,0.1,15,50000,10000
0,small1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,10,16,20,13312,35,13277,13233,,0.02,5.63,580099,0,580115,0/7,0,0,10,0.9999,0.4,15,50000,10000
0,small1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,10,16,20,13306,29,13277,13233,,0.01,5.63,580110,0,580129,0/7,0,0,100000,0.999,0.1,5,50000,10000
0,small1,True,True,CP_ROUTING_CP_SCHEDULING,8,4,10,16,20,5421,26,5395,5361,,0.01,5.63,5140,0,5164,0/7,0,0,10,0.999,0.8,5,50000,10000
0,small1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,10,16,20,13304,27,13277,13233,,0.01,5.63,580087,0,580104,0/7,0,0,100000,0.9999,0.2,20,50000,10000
0,small1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,10,16,20,13305,28,13277,13233,,0.01,5.63,580127,0,580146,0/7,0,0,100000,0.999,0.2,15,50000,10000
0,small1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,10,16,20,13304,27,13277,13233,,0.01,5.63,580141,0,580157,0/7,0,0,10,0.99,0.2,15,50000,10000
0,small1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,10,16,20,13303,26,13277,13233,,0.01,5.63,580136,0,580154,0/7,0,0,10,0.99,0.5,15,50000,10000
0,small1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,10,16,20,13303,26,13277,13233,,0.01,5.63,580124,0,580141,0/7,0,0,100000000,0.999999,0.1,5,50000,10000
0,small1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,10,16,20,13303,26,13277,13233,,0.01,5.63,580132,0,580152,0/7,0,0,10,0.99,0.5,15,50000,10000
0,small1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,10,16,20,13303,26,13277,13233,,0.01,5.63,580136,0,580152,0/7,0,0,1000000,0.99,0.5,15,50000,10000
0,small1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,10,16,20,13303,26,13277,13233,,0.01,5.63,580098,0,580118,0/7,0,0,1000000,0.99,0.5,15,50000,10000
0,small1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,10,16,20,13304,27,13277,13233,,0.01,5.63,580105,0,580123,0/7,0,0,100000000,0.999999,0.1,5,50000,10000
0,small1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,10,16,20,13303,26,13277,13233,,0.01,5.63,580132,0,580151,0/7,0,0,1000000,0.99,0.5,15,50000,10000
