,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580011,0,580041,0/1,0,0,100000000,0.999999,0.1,5,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580007,0,580024,0/1,0,0,1,0.999,0.5,30,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580011,0,580033,0/1,0,0,1,0.9999,0.7,20,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580011,0,580029,0/1,0,0,100000000,0.999999,0.6,30,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580011,0,580031,0/1,0,0,1000,0.99999,0.1,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580011,0,580029,0/1,0,0,10,0.9999,0.4,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580009,0,580029,0/1,0,0,100000,0.999,0.1,5,50000,10000
0,tiny2,True,True,CP_ROUTING_CP_SCHEDULING,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,135,0,151,0/1,0,0,10,0.999,0.8,5,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580007,0,580025,0/1,0,0,100000,0.9999,0.2,20,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580007,0,580027,0/1,0,0,100000,0.999,0.2,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580009,0,580027,0/1,0,0,10,0.99,0.2,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580010,0,580029,0/1,0,0,10,0.99,0.5,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580010,0,580024,0/1,0,0,100000000,0.999999,0.1,5,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580007,0,580027,0/1,0,0,10,0.99,0.5,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580011,0,580029,0/1,0,0,1000000,0.99,0.5,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580008,0,580031,0/1,0,0,1000000,0.99,0.5,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580008,0,580023,0/1,0,0,100000000,0.999999,0.1,5,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580011,0,580031,0/1,0,0,1000000,0.99,0.5,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580011,0,580028,0/1,0,0,1000000,0.999999,0.5,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580009,0,580029,0/1,0,0,1000000,0.999999,0.5,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580012,0,580031,0/1,0,0,1000000,0.999999,0.5,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580012,0,580032,0/1,0,0,100000000,0.999999,0.1,5,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580009,0,580027,0/1,0,0,1000000,0.999999,0.5,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580009,0,580028,0/1,0,0,1000000,0.999999,0.3,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580010,0,580030,0/1,0,0,1000000,0.999999,0.3,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580009,0,580029,0/1,0,0,1000000,0.999999,0.3,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580007,0,580025,0/1,0,0,1000000,0.999999,0.3,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580012,0,580032,0/1,0,0,100000000,0.999999,0.1,5,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580011,0,580029,0/1,0,0,1000000,0.999999,0.3,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580010,0,580030,0/1,0,0,1000000,0.8,0.3,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580010,0,580028,0/1,0,0,1000000,0.8,0.3,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580009,0,580030,0/1,0,0,1000000,0.8,0.3,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580011,0,580031,0/1,0,0,1000000,0.8,0.3,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580010,0,580029,0/1,0,0,1000000,0.8,0.3,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580008,0,580026,0/1,0,0,100000000,0.999999,0.1,5,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580007,0,580026,0/1,0,0,1000000,0.8,0.3,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580009,0,580028,0/1,0,0,1000000,0.8,0.9,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580008,0,580026,0/1,0,0,1000000,0.8,0.9,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580010,0,580029,0/1,0,0,1000000,0.8,0.9,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580007,0,580025,0/1,0,0,1000000,0.8,0.9,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580009,0,580029,0/1,0,0,1000000,0.8,0.9,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580007,0,580026,0/1,0,0,1000000,0.8,0.9,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580009,0,580029,0/1,0,0,100000000,0.999999,0.1,5,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580010,0,580023,0/1,0,0,1000000,0.8,0.9,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580011,0,580031,0/1,0,0,1000000,0.9,0.9,15,50000,10000
0,tiny2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,3,4,6,1732,7,1725,1725,,0.02,4.12,580009,0,580028,0/1,0,0,1000000,0.9,0.9,15,50000,10000
