,Testcase,Edge Applications used,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Avg. maximum unattested time,Avg. time spent attesting,Avg. worst case response time,Avg. avg response time,Avg. edge app latency,Tstart,alpha,Prmv,k,a,b,w
0,apps0,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,2,3,8,28527,5,28522,28522,,9.999999999999999e-05,1.7904000000000004,853,0,952,0/4,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps1,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,4,8,16,57853,14,57839,57839,,0.0002800000000000001,3.7368500000000004,2308,0,2424,0/8,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps0,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,2,3,8,28527,5,28522,28522,,9.999999999999999e-05,1.7904000000000004,1084,0,1164,0/4,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps2,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,6,11,24,85451,20,85431,85431,,0.0004000000000000001,5.187100000000002,4722,0,4827,0/12,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps0,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,2,3,8,28527,5,28522,28522,,9.999999999999999e-05,1.7904000000000004,1078,0,1157,0/4,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps1,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,4,8,16,57853,14,57839,57839,,0.0002800000000000001,3.7368500000000004,3012,0,3663,0/8,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps3,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,8,16,32,133716,29,133687,133687,,0.0005799999999999998,7.669899999999999,5125,0,5230,0/16,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps1,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,4,8,16,57853,14,57839,57839,,0.0002800000000000001,3.7368500000000004,3023,0,3117,0/8,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps0,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,2,3,8,28527,5,28522,28522,,9.999999999999999e-05,1.7904000000000004,855,0,941,0/4,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps2,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,6,11,24,85446,20,85426,85426,,0.0004000000000000001,5.187100000000002,5115,0,5196,0/12,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps1,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,4,8,16,57853,14,57839,57839,,0.0002800000000000001,3.7368500000000004,2341,0,2431,0/8,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps2,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,6,11,24,85456,20,85436,85436,,0.0004000000000000001,5.187100000000002,7047,0,7142,0/12,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps2,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,6,11,24,85456,20,85436,85436,,0.0004000000000000001,5.187100000000002,3631,0,3724,0/12,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps0,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,2,3,8,28527,5,28522,28522,,9.999999999999999e-05,1.7904000000000004,1080,0,1176,0/4,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps3,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,8,16,32,133716,29,133687,133687,,0.0005799999999999999,7.669899999999999,4402,0,4497,0/16,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps1,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,4,8,16,57853,14,57839,57839,,0.0002800000000000001,3.7368500000000004,3023,0,3119,0/8,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps3,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,8,16,32,133716,29,133687,133687,,0.0005799999999999998,7.669899999999999,15329,0,15413,0/16,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps2,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,6,11,24,85456,20,85436,85436,,0.0004000000000000001,5.187100000000002,4701,0,4780,0/12,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps3,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,8,16,32,133711,29,133682,133682,,0.00058,7.669899999999999,24293,0,24375,0/16,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps4,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,10,19,40,169739,35,169704,169704,,0.0006999999999999996,10.439850000000002,32687,0,32830,0/20,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps4,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,10,19,40,169739,35,169704,169704,,0.0006999999999999997,10.439850000000002,55380,0,55481,0/20,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps4,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,10,19,40,169744,35,169709,169709,,0.0006999999999999998,10.439850000000002,46402,0,46498,0/20,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps4,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,10,19,40,169739,35,169704,169704,,0.0006999999999999997,10.439850000000002,63878,0,63965,0/20,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps3,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,8,16,32,133716,29,133687,133687,,0.0005799999999999999,7.669899999999999,74713,0,74804,0/16,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps4,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,10,19,40,169739,35,169704,169704,,0.0006999999999999997,10.439850000000002,195414,0,195495,0/20,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps5,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,12,22,48,220498,41,220457,220457,,0.0008199999999999995,13.17465,2179737,0,2179845,0/24,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps6,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,14,27,56,213945,48,213897,213897,,0.0009599999999999998,12.587900000000001,2387952,0,2388105,0/28,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps6,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,14,27,56,213945,48,213897,213897,,0.0009599999999999999,12.587900000000001,2435325,0,2435413,0/28,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps6,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,14,27,56,213945,48,213897,213897,,0.0009600000000000005,12.587900000000001,2485233,0,2485316,0/28,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,apps5,,True,True,CP_ROUTING_CP_SCHEDULING,20,10,12,22,48,220493,41,220452,220452,,0.0008199999999999998,13.17465,2622895,0,2622982,0/24,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
