,Testcase,Edge Applications used,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Avg. maximum unattested time,Avg. time spent attesting,Avg. worst case response time,Avg. avg response time,Avg. edge app latency,Tstart,alpha,Prmv,k,a,b,w
0,topo_size_plus_apps0,,True,True,CP_ROUTING_CP_SCHEDULING,16,6,2,4,8,40326,6,40320,40320,,0.00031914893617021275,3.3898750000000004,434,0,484,0/4,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps1,,True,True,CP_ROUTING_CP_SCHEDULING,16,8,4,8,16,71231,15,71216,71216,,0.0006250000000000001,5.7631875,1099,0,1210,0/8,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps0,,True,True,CP_ROUTING_CP_SCHEDULING,16,6,2,4,8,40326,6,40320,40320,,0.00031914893617021275,3.3898750000000004,565,0,603,0/4,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps2,,True,True,CP_ROUTING_CP_SCHEDULING,16,10,6,12,24,98869,25,98844,98844,,0.0008116883116883115,6.4933749999999995,5163,0,5263,0/12,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps1,,True,True,CP_ROUTING_CP_SCHEDULING,16,8,4,8,16,71231,15,71216,71216,,0.0006250000000000002,5.7631875,1444,0,1521,0/8,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps0,,True,True,CP_ROUTING_CP_SCHEDULING,16,6,2,4,8,40326,6,40320,40320,,0.00031914893617021275,3.3898750000000004,564,0,604,0/4,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps1,,True,True,CP_ROUTING_CP_SCHEDULING,16,8,4,8,16,71231,15,71216,71216,,0.0006250000000000002,5.7631875,1446,0,1539,0/8,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps0,,True,True,CP_ROUTING_CP_SCHEDULING,16,6,2,4,8,40326,6,40320,40320,,0.00031914893617021275,3.3898750000000004,578,0,614,0/4,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps2,,True,True,CP_ROUTING_CP_SCHEDULING,16,10,6,12,24,98879,25,98854,98854,,0.0008116883116883115,6.4933749999999995,11823,0,11900,0/12,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size_plus_apps2,,True,True,CP_ROUTING_CP_SCHEDULING,16,10,6,12,24,98869,25,98844,98844,,0.0008116883116883115,6.4933749999999995,5500,0,5596,0/12,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
