,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b,w
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,39422,391,39031,38532,,0.09907956989247309,3.080000000000001,583737,3,583787,0/19,0,0,10000,0.999999,0.1,5,50000,10000,5
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,39983,463,39520,39018,,0.1133694623655914,3.080000000000001,585299,3,585342,0/19,0,0,10000,0.9,0.9,30,50000,10000,10
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,39351,393,38958,38459,,0.09967311827956986,3.080000000000001,580881,3,580924,0/19,0,0,1,0.9999,0.5,10,50000,10000,1000
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,38653,395,38258,37759,,0.09975483870967737,3.080000000000001,586111,3,586157,0/19,0,0,1,0.8,0.5,30,50000,10000,1000
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,40013,417,39596,39097,,0.10904000000000003,3.080000000000001,583336,3,583382,0/19,0,0,10,0.999999,0.9,5,50000,10000,5
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,39480,398,39082,38580,,0.10100645161290321,3.080000000000001,585448,3,585492,0/19,0,0,10000,0.9999,0.1,15,50000,10000,10
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,42187,391,41796,41297,,0.09907956989247309,3.080000000000001,584691,3,584784,0/19,0,0,10000,0.99,0.7,15,50000,10000,10
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,39224,396,38828,38329,,0.10079999999999996,3.080000000000001,584195,3,584238,0/19,0,0,1,0.9,0.7,5,50000,10000,5
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,38154,398,37756,37257,,0.10293505376344086,3.080000000000001,582897,3,582944,0/19,0,0,1,0.9999,0.7,20,50000,10000,10
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,38105,399,37706,37207,,0.10113634408602148,3.080000000000001,585705,3,585750,0/19,0,0,1,0.9,0.5,30,50000,10000,5
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,40052,397,39655,39156,,0.09966451612903225,3.080000000000001,585656,3,585702,0/19,0,0,10000,0.9999,0.1,30,50000,10000,10
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,38740,391,38349,37850,,0.09907956989247309,3.080000000000001,583012,3,583055,0/19,0,0,1,0.9999,0.1,30,50000,10000,10
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,40354,393,39961,39462,,0.10168774193548387,3.080000000000001,583695,3,583737,0/19,0,0,10000,0.999999,0.1,5,50000,10000,5
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,38788,391,38397,37898,,0.09907956989247309,3.080000000000001,582473,3,582520,0/19,0,0,1,0.9999,0.1,30,50000,10000,10
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,38137,391,37746,37247,,0.0990795698924731,3.080000000000001,587126,3,587169,0/19,0,0,1,0.99,0.1,30,50000,10000,10
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,38740,391,38349,37850,,0.09907956989247309,3.080000000000001,582990,3,583034,0/19,0,0,1,0.99,0.1,30,50000,10000,10
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,40129,393,39736,39237,,0.09963010752688167,3.080000000000001,580323,3,580366,0/19,0,0,10000,0.999999,0.1,5,50000,10000,5
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,38031,397,37634,37135,,0.10202322580645155,3.080000000000001,583458,3,583505,0/19,0,0,1,0.99,0.1,30,50000,10000,10
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,38145,391,37754,37252,,0.09907956989247309,3.080000000000001,582272,3,582314,0/19,0,0,1,0.99,0.1,30,50000,10000,1000
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,39110,391,38719,38220,,0.09907956989247309,3.080000000000001,582987,3,583032,0/19,0,0,1,0.99,0.1,30,50000,10000,1000
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,38317,391,37926,37427,,0.09907956989247309,3.080000000000001,584335,3,584379,0/19,0,0,1,0.99,0.1,30,50000,10000,1000
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,41239,391,40848,40352,,0.09907956989247309,3.080000000000001,584269,3,584343,0/19,0,0,10000,0.999999,0.1,5,50000,10000,5
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,38773,395,38378,37876,,0.09957849462365592,3.080000000000001,582751,3,582794,0/19,0,0,1,0.99,0.1,30,50000,10000,1000
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,38301,391,37910,37408,,0.09907956989247309,3.080000000000001,583772,3,583819,0/19,0,0,1,0.99,0.1,10,50000,10000,1000
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,38297,393,37904,37408,,0.09929032258064513,3.080000000000001,583019,3,583062,0/19,0,0,1,0.99,0.1,10,50000,10000,1000
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,39061,391,38670,38168,,0.09907956989247309,3.080000000000001,580499,3,580546,0/19,0,0,1,0.99,0.1,10,50000,10000,1000
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,38740,391,38349,37850,,0.09907956989247309,3.080000000000001,582565,3,582610,0/19,0,0,1,0.99,0.1,10,50000,10000,1000
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,39869,391,39478,38976,,0.09907956989247309,3.080000000000001,580897,3,580942,0/19,0,0,10000,0.999999,0.1,5,50000,10000,5
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,38143,391,37752,37250,,0.0990795698924731,3.080000000000001,581873,3,581915,0/19,0,0,1,0.99,0.1,10,50000,10000,1000
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,38143,391,37752,37250,,0.09907956989247309,3.080000000000001,585406,3,585479,0/19,0,0,1,0.99,0.1,10,50000,10000,10
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,38731,391,38340,37844,,0.09907956989247309,3.080000000000001,584197,3,584240,0/19,0,0,1,0.99,0.1,10,50000,10000,10
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,38133,393,37740,37244,,0.09924731182795696,3.080000000000001,581510,3,581557,0/19,0,0,1,0.99,0.1,10,50000,10000,10
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,38321,391,37930,37431,,0.0990795698924731,3.080000000000001,581928,3,581974,0/19,0,0,1,0.99,0.1,10,50000,10000,10
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,38137,391,37746,37247,,0.09907956989247309,3.080000000000001,586148,3,586194,0/19,0,0,1,0.99,0.1,10,50000,10000,10
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,41687,393,41294,40795,,0.09958709677419353,3.080000000000001,582116,3,582159,0/19,0,0,10000,0.999999,0.1,5,50000,10000,5
0,TC1_automotive_redundant,True,True,SA_ROUTING_SA_SCHEDULING_COMB,20,32,84,102,74,38157,391,37766,37267,,0.09907956989247309,3.080000000000001,581283,3,581325,0/19,0,0,1,0.99,0.1,10,50000,10000,10
