,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b,w
0,giant2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,192,96,313,693,516,279325,3488,275837,234326,app180+app230+app240,0.037236199376947,5.133284722222226,1215851,0,1216435,4/137,0,0,10000,0.999999,0.1,5,50000,10000,5
0,giant2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,192,96,313,693,516,256669,3504,253165,241584,app180,0.03742798546209757,5.133284722222226,1269327,0,1269921,1/137,0,0,10000,0.9,0.9,30,50000,10000,10
0,giant2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,192,96,313,693,516,270848,3505,267343,235782,app180+app400,0.03739759086188988,5.133284722222226,1233779,0,1234359,3/137,0,0,1,0.9999,0.5,10,50000,10000,1000
0,giant2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,192,96,313,693,516,248502,3504,244998,233433,app180,0.03739730010384212,5.133284722222226,1248851,0,1249441,1/137,0,0,1,0.8,0.5,30,50000,10000,1000
0,giant2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,192,96,313,693,516,256193,3487,252706,241097,app180,0.0371935514018691,5.133284722222226,1212187,0,1212774,1/137,0,0,10,0.999999,0.9,5,50000,10000,5
0,giant2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,192,96,313,693,516,266281,3507,262774,231243,app180+app400,0.03740832814122528,5.133284722222226,1251609,0,1252191,3/137,0,0,10000,0.9999,0.1,15,50000,10000,10
0,giant2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,192,96,313,693,516,273841,3505,270336,228813,app160+app180+app360,0.037448556593977105,5.133284722222226,1208221,0,1208809,4/137,0,0,10000,0.99,0.7,15,50000,10000,10
0,giant2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,192,96,313,693,516,257703,3488,254215,242706,app180,0.03723619937694699,5.133284722222226,1197154,0,1197745,1/137,0,0,1,0.9,0.7,5,50000,10000,5
0,giant2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,192,96,313,693,516,250924,3505,247419,235868,app180,0.03739772066458978,5.133284722222226,1238126,0,1238712,1/137,0,0,1,0.9999,0.7,20,50000,10000,10
0,giant2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,192,96,313,693,516,259631,3488,256143,244568,app180,0.03723619937694699,5.133284722222226,1263239,0,1263824,1/137,0,0,1,0.9,0.5,30,50000,10000,5
0,giant2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,192,96,313,693,516,255383,3503,251880,240294,app180,0.03738645898234679,5.133284722222226,1265305,0,1265894,1/137,0,0,10000,0.9999,0.1,30,50000,10000,10
0,giant2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,192,96,313,693,516,259569,3504,256065,244453,app180,0.03741439252336444,5.133284722222226,1255486,0,1256071,1/137,0,0,1,0.9999,0.1,30,50000,10000,10
0,giant2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,192,96,313,693,516,244823,3488,241335,229835,app180,0.03723619937694699,5.133284722222226,1247468,0,1248054,1/137,0,0,10000,0.999999,0.1,5,50000,10000,5
0,giant2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,192,96,313,693,516,251723,3503,248220,216731,app180+app400,0.03738645898234679,5.133284722222226,1253297,0,1253878,3/137,0,0,1,0.9999,0.1,30,50000,10000,10
0,giant2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,192,96,313,693,516,253112,3508,249604,218093,app180+app400,0.037406396677050834,5.133284722222226,1266822,0,1267396,3/137,0,0,1,0.99,0.1,30,50000,10000,10
0,giant2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,192,96,313,693,516,266308,3503,262805,231261,app180+app400,0.03738645898234679,5.133284722222226,1230216,0,1230795,3/137,0,0,1,0.99,0.1,30,50000,10000,10
0,giant2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,192,96,313,693,516,257045,3488,253557,241952,app180,0.037236199376947,5.133284722222226,1217400,0,1217988,1/137,0,0,10000,0.999999,0.1,5,50000,10000,5
0,giant2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,192,96,313,693,516,255505,3492,252013,230479,app180+app390,0.03728185462097608,5.133284722222226,3658231,0,3658672,2/137,0,0,10000,0.999999,0.1,5,50000,10000,5
