,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19460,77,19383,19257,,0.02,4.69,580466,0,580502,0/12,0,0,100000000,0.999999,0.1,5,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19476,77,19399,19273,,0.02,4.69,580553,0,580581,0/12,0,0,1,0.999,0.5,30,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19461,78,19383,19257,,0.02,4.69,580651,0,580679,0/12,0,0,1,0.9999,0.7,20,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,21057,77,20980,20854,,0.02,4.69,580835,0,580860,0/12,0,0,100000000,0.999999,0.6,30,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19462,80,19382,19251,,0.02,4.69,580739,0,580771,0/12,0,0,1000,0.99999,0.1,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19463,81,19382,19251,,0.02,4.69,580339,0,580367,0/12,0,0,10,0.9999,0.4,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19464,81,19383,19257,,0.02,4.69,580511,0,580540,0/12,0,0,100000,0.999,0.1,5,50000,10000
0,medium2,True,True,CP_ROUTING_CP_SCHEDULING,16,8,30,47,43,6552,76,6476,6391,,0.02,4.69,298652,0,298691,0/12,0,0,10,0.999,0.8,5,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19482,83,19399,19271,,0.02,4.69,580735,0,580763,0/12,0,0,100000,0.9999,0.2,20,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19462,79,19383,19257,,0.02,4.69,580481,0,580508,0/12,0,0,100000,0.999,0.2,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19461,82,19379,19252,,0.02,4.69,580464,0,580490,0/12,0,0,10,0.99,0.2,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19483,84,19399,19273,,0.02,4.69,580394,0,580421,0/12,0,0,10,0.99,0.5,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,20323,77,20246,20120,,0.02,4.69,580600,0,580626,0/12,0,0,100000000,0.999999,0.1,5,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19461,82,19379,19253,,0.02,4.69,580686,0,580715,0/12,0,0,10,0.99,0.5,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19480,81,19399,19273,,0.02,4.69,580750,0,580776,0/12,0,0,1000000,0.99,0.5,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19496,113,19383,19253,,0.02,4.69,580611,0,580639,0/12,0,0,1000000,0.99,0.5,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19461,78,19383,19257,,0.02,4.69,580292,0,580320,0/12,0,0,100000000,0.999999,0.1,5,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19512,113,19399,19271,,0.02,4.69,580435,0,580469,0/12,0,0,1000000,0.99,0.5,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,21057,77,20980,20854,,0.02,4.69,580589,0,580620,0/12,0,0,1000000,0.999999,0.5,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,20393,81,20312,20185,,0.02,4.69,580373,0,580403,0/12,0,0,1000000,0.999999,0.5,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19861,81,19780,19654,,0.02,4.69,580726,0,580752,0/12,0,0,1000000,0.999999,0.5,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19469,84,19385,19259,,0.02,4.69,580472,0,580502,0/12,0,0,100000000,0.999999,0.1,5,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,20563,78,20485,20359,,0.02,4.69,580745,0,580772,0/12,0,0,1000000,0.999999,0.5,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,20571,78,20493,20362,,0.02,4.69,580511,0,580539,0/12,0,0,1000000,0.999999,0.3,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,20048,86,19962,19835,,0.02,4.69,580731,0,580759,0/12,0,0,1000000,0.999999,0.3,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19465,84,19381,19253,,0.02,4.69,580341,0,580369,0/12,0,0,1000000,0.999999,0.3,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19869,88,19781,19650,,0.02,4.69,580545,0,580572,0/12,0,0,1000000,0.999999,0.3,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19457,78,19379,19253,,0.02,4.69,580252,0,580284,0/12,0,0,100000000,0.999999,0.1,5,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,20121,122,19999,19869,,0.03,4.69,580360,0,580393,0/12,0,0,1000000,0.999999,0.3,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19481,85,19396,19271,,0.02,4.69,580680,0,580708,0/12,0,0,1000000,0.8,0.3,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19458,81,19377,19251,,0.02,4.69,580371,0,580397,0/12,0,0,1000000,0.8,0.3,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,20147,77,20070,19944,,0.02,4.69,580468,0,580496,0/12,0,0,1000000,0.8,0.3,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19476,80,19396,19271,,0.02,4.69,580604,0,580631,0/12,0,0,1000000,0.8,0.3,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19460,83,19377,19251,,0.02,4.69,580573,0,580604,0/12,0,0,1000000,0.8,0.3,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,20221,77,20144,20018,,0.02,4.69,580318,0,580343,0/12,0,0,100000000,0.999999,0.1,5,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19461,84,19377,19251,,0.02,4.69,580302,0,580340,0/12,0,0,1000000,0.8,0.3,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19461,82,19379,19253,,0.02,4.69,580440,0,580469,0/12,0,0,1000000,0.8,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19458,81,19377,19251,,0.02,4.69,580462,0,580490,0/12,0,0,1000000,0.8,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19480,84,19396,19271,,0.02,4.69,580475,0,580503,0/12,0,0,1000000,0.8,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19460,83,19377,19251,,0.02,4.69,580631,0,580658,0/12,0,0,1000000,0.8,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19478,82,19396,19271,,0.02,4.69,580348,0,580376,0/12,0,0,1000000,0.8,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19459,83,19376,19251,,0.02,4.69,580521,0,580549,0/12,0,0,1000000,0.8,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,20471,77,20394,20268,,0.02,4.69,580501,0,580528,0/12,0,0,100000000,0.999999,0.1,5,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19457,79,19378,19253,,0.02,4.69,580673,0,580699,0/12,0,0,1000000,0.8,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,21057,77,20980,20854,,0.02,4.69,580494,0,580521,0/12,0,0,1000000,0.9,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19480,84,19396,19271,,0.02,4.69,580498,0,580525,0/12,0,0,1000000,0.9,0.9,15,50000,10000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19482,83,19399,19273,,0.02,4.69,580365,0,580397,0/12,0,0,1000000,0.9,0.9,15,50000,10000
