,Test case,Method,# ES,# SW,# Streams,# Recv. Tasks,# Tasks,Cost,T
0,tiny1,CP,4,2,2,2,6,1708,202
1,tiny1,SA,4,2,2,2,6,1708,580060
2,tiny2,CP,4,2,3,4,6,1732,177
3,tiny2,SA,4,2,3,4,6,1732,580041
4,tiny3,CP,4,2,11,13,15,7450,860062
5,tiny3,SA,4,2,11,13,15,18088,580194
6,small1,CP,8,4,10,16,20,5421,2163
7,small1,SA,8,4,10,16,20,13303,580127
8,small2,CP,8,4,14,20,23,9110,3603731
9,small2,SA,8,4,14,20,23,13794,580387
10,small3,CP,8,4,29,48,35,7705,1054492
11,small3,SA,8,4,29,48,35,13781,580348
12,medium1,CP,16,8,23,34,37,12991,269673
13,medium1,SA,16,8,23,34,37,22883,580115
14,medium2,CP,16,8,30,47,43,6552,311792
15,medium2,SA,16,8,30,47,43,19455,580645
16,medium3,CP,16,8,36,53,47,15515,3698295
17,medium3,SA,16,8,36,53,47,26486,580909
18,large1,CP,/,/,/,/,/,/,/
19,large1,SA,32,16,47,86,73,43872,580520
20,large2,CP,32,16,37,77,72,25199,3289327
21,large2,SA,32,16,37,77,72,41071,1781240
22,large3,CP,/,/,/,/,/,/,/
23,large3,SA,32,16,69,170,104,34860,581647
24,huge1,CP,/,/,/,/,/,/,/
25,huge1,SA,64,32,84,183,133,73070,584273
26,huge2,CP,/,/,/,/,/,/,/
27,huge2,SA,64,32,99,213,161,57246,586096
28,huge3,CP,/,/,/,/,/,/,/
29,huge3,SA,64,32,99,197,169,93357,582557
30,giant1,CP,/,/,/,/,/,/,/
31,giant1,SA,128,64,144,347,261,101799,1188149
32,giant2,CP,/,/,/,/,/,/,/
33,giant2,SA,192,96,313,693,516,244823,1248054
34,giant3,CP,/,/,/,/,/,/,/
35,giant3,SA,256,128,600,1264,1028,565472,1431890
