,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580358,0,580387,0/10,0,0,100000000,0.999999,0.1,5,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580330,0,580350,0/10,0,0,1,0.999,0.5,30,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580368,0,580390,0/10,0,0,1,0.9999,0.7,20,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580265,0,580284,0/10,0,0,100000000,0.999999,0.6,30,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580266,0,580288,0/10,0,0,1000,0.99999,0.1,15,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580454,0,580473,0/10,0,0,10,0.9999,0.4,15,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580179,0,580201,0/10,0,0,100000,0.999,0.1,5,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580368,0,580388,0/10,0,0,100000,0.9999,0.2,20,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580503,0,580525,0/10,0,0,100000,0.999,0.2,15,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580388,0,580411,0/10,0,0,10,0.99,0.2,15,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580194,0,580218,0/10,0,0,10,0.99,0.5,15,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580300,0,580323,0/10,0,0,100000000,0.999999,0.1,5,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580437,0,580461,0/10,0,0,10,0.99,0.5,15,50000,10000
0,small2,True,True,CP_ROUTING_CP_SCHEDULING,8,4,14,20,23,9110,34,9076,9042,,0.01,5.01,3603591,0,3603619,0/10,0,0,10,0.999,0.8,5,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580272,0,580292,0/10,0,0,1000000,0.99,0.5,15,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580381,0,580404,0/10,0,0,1000000,0.99,0.5,15,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580452,0,580473,0/10,0,0,100000000,0.999999,0.1,5,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580330,0,580355,0/10,0,0,1000000,0.99,0.5,15,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580497,0,580521,0/10,0,0,1000000,0.999999,0.5,15,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580320,0,580347,0/10,0,0,1000000,0.999999,0.5,15,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580426,0,580450,0/10,0,0,1000000,0.999999,0.5,15,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580320,0,580345,0/10,0,0,100000000,0.999999,0.1,5,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580288,0,580312,0/10,0,0,1000000,0.999999,0.5,15,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580303,0,580328,0/10,0,0,1000000,0.999999,0.3,15,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580507,0,580531,0/10,0,0,1000000,0.999999,0.3,15,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580448,0,580474,0/10,0,0,1000000,0.999999,0.3,15,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580477,0,580502,0/10,0,0,1000000,0.999999,0.3,15,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580209,0,580235,0/10,0,0,100000000,0.999999,0.1,5,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580552,0,580577,0/10,0,0,1000000,0.999999,0.3,15,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580204,0,580229,0/10,0,0,1000000,0.8,0.3,15,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580272,0,580296,0/10,0,0,1000000,0.8,0.3,15,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580390,0,580417,0/10,0,0,1000000,0.8,0.3,15,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580425,0,580449,0/10,0,0,1000000,0.8,0.3,15,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580467,0,580492,0/10,0,0,1000000,0.8,0.3,15,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580381,0,580405,0/10,0,0,100000000,0.999999,0.1,5,50000,10000
0,small2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,8,4,14,20,23,13794,34,13760,13716,,0.01,5.01,580289,0,580316,0/10,0,0,1000000,0.8,0.3,15,50000,10000
