,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b,w
0,tiny1,True,True,CP_ROUTING_CP_SCHEDULING,4,2,0,0,4,1636,0,1636,1636,,0.00,2.08,50,0,66,0/4,0,0,10,0.999,0.8,5,50000,10000
0,tiny1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,2,2,6,1708,4,1704,1687,,0.005202962962962963,1.8853333333333333,580035,0,580060,0/4,0,0,10000,0.999999,0.1,5,50000,10000,5
0,tiny1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,2,2,6,1708,4,1704,1687,,0.005202962962962963,1.8853333333333333,580028,0,580050,0/4,0,0,10000,0.9,0.9,30,50000,10000,10
0,tiny1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,2,2,6,1708,4,1704,1687,,0.005202962962962963,1.8853333333333333,580026,0,580047,0/4,0,0,1,0.9999,0.5,10,50000,10000,1000
0,tiny1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,2,2,6,1708,4,1704,1687,,0.005202962962962963,1.8853333333333333,580021,0,580042,0/4,0,0,1,0.8,0.5,30,50000,10000,1000
0,tiny1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,2,2,6,1708,4,1704,1687,,0.005202962962962963,1.8853333333333333,580017,0,580038,0/4,0,0,10,0.999999,0.9,5,50000,10000,5
0,tiny1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,2,2,6,1708,4,1704,1687,,0.005202962962962963,1.8853333333333333,580023,0,580044,0/4,0,0,10000,0.9999,0.1,15,50000,10000,10
0,tiny1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,2,2,6,1708,4,1704,1687,,0.005202962962962963,1.8853333333333333,580015,0,580037,0/4,0,0,10000,0.99,0.7,15,50000,10000,10
0,tiny1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,2,2,6,1708,4,1704,1687,,0.005202962962962963,1.8853333333333333,580023,0,580042,0/4,0,0,1,0.9,0.7,5,50000,10000,5
0,tiny1,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,2,2,6,1708,4,1704,1687,,0.005202962962962963,1.8853333333333333,580010,0,580033,0/4,0,0,1,0.9999,0.7,20,50000,10000,10
