,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580173,0,580194,0/5,0,0,100000000,0.999999,0.1,5,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580069,0,580084,0/5,0,0,1,0.999,0.5,30,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580110,0,580127,0/5,0,0,1,0.9999,0.7,20,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580150,0,580164,0/5,0,0,100000000,0.999999,0.6,30,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580153,0,580169,0/5,0,0,1000,0.99999,0.1,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580132,0,580146,0/5,0,0,10,0.9999,0.4,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580074,0,580090,0/5,0,0,100000,0.999,0.1,5,50000,10000
0,tiny3,True,True,CP_ROUTING_CP_SCHEDULING,4,2,11,13,15,7450,24,7426,7375,,0.01,5.25,66088,0,66110,0/5,0,0,10,0.999,0.8,5,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580127,0,580142,0/5,0,0,100000,0.9999,0.2,20,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580151,0,580168,0/5,0,0,100000,0.999,0.2,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580151,0,580166,0/5,0,0,10,0.99,0.2,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580065,0,580081,0/5,0,0,10,0.99,0.5,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580153,0,580168,0/5,0,0,100000000,0.999999,0.1,5,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580112,0,580129,0/5,0,0,10,0.99,0.5,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580100,0,580114,0/5,0,0,1000000,0.99,0.5,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580144,0,580162,0/5,0,0,1000000,0.99,0.5,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580101,0,580118,0/5,0,0,100000000,0.999999,0.1,5,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580118,0,580134,0/5,0,0,1000000,0.99,0.5,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580062,0,580077,0/5,0,0,1000000,0.999999,0.5,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580114,0,580130,0/5,0,0,1000000,0.999999,0.5,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580069,0,580085,0/5,0,0,1000000,0.999999,0.5,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580093,0,580110,0/5,0,0,100000000,0.999999,0.1,5,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580120,0,580135,0/5,0,0,1000000,0.999999,0.5,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580140,0,580156,0/5,0,0,1000000,0.999999,0.3,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580066,0,580081,0/5,0,0,1000000,0.999999,0.3,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580104,0,580121,0/5,0,0,1000000,0.999999,0.3,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580171,0,580186,0/5,0,0,1000000,0.999999,0.3,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580069,0,580086,0/5,0,0,100000000,0.999999,0.1,5,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580138,0,580154,0/5,0,0,1000000,0.999999,0.3,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580116,0,580132,0/5,0,0,1000000,0.8,0.3,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580080,0,580096,0/5,0,0,1000000,0.8,0.3,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580141,0,580157,0/5,0,0,1000000,0.8,0.3,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580146,0,580161,0/5,0,0,1000000,0.8,0.3,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580121,0,580137,0/5,0,0,1000000,0.8,0.3,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580100,0,580116,0/5,0,0,100000000,0.999999,0.1,5,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580135,0,580150,0/5,0,0,1000000,0.8,0.3,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580113,0,580129,0/5,0,0,1000000,0.8,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580070,0,580085,0/5,0,0,1000000,0.8,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580123,0,580139,0/5,0,0,1000000,0.8,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580078,0,580093,0/5,0,0,1000000,0.8,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580071,0,580088,0/5,0,0,1000000,0.8,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580063,0,580078,0/5,0,0,1000000,0.8,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580168,0,580184,0/5,0,0,100000000,0.999999,0.1,5,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580128,0,580142,0/5,0,0,1000000,0.8,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580142,0,580160,0/5,0,0,1000000,0.9,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580152,0,580166,0/5,0,0,1000000,0.9,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580152,0,580168,0/5,0,0,1000000,0.9,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580095,0,580110,0/5,0,0,1000000,0.9,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580089,0,580106,0/5,0,0,1000000,0.9,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580145,0,580160,0/5,0,0,1000000,0.9,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580126,0,580144,0/5,0,0,1000000,0.9,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580159,0,580175,0/5,0,0,100000000,0.999999,0.1,5,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580106,0,580125,0/5,0,0,1000000,0.9,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580139,0,580154,0/5,0,0,1,0.9,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580074,0,580091,0/5,0,0,1,0.9,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580139,0,580156,0/5,0,0,1,0.9,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580072,0,580088,0/5,0,0,1,0.9,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580075,0,580090,0/5,0,0,1,0.9,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580061,0,580077,0/5,0,0,1,0.9,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580065,0,580080,0/5,0,0,1,0.9,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580097,0,580112,0/5,0,0,1000000,0.9,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.01,5.25,580151,0,580166,0/5,0,0,1000000,0.9,0.9,15,50000,10000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.00912,5.250500000000001,580098,0,580124,0/5,0,0,10000,0.999999,0.1,5,50000,10000,5
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.00912,5.250500000000001,580042,0,580064,0/5,0,0,10000,0.9,0.9,30,50000,10000,10
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.00912,5.250500000000001,580075,0,580095,0/5,0,0,1,0.9999,0.5,10,50000,10000,1000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.00912,5.250500000000001,580068,0,580088,0/5,0,0,1,0.8,0.5,30,50000,10000,1000
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.00912,5.250500000000001,580016,0,580038,0/5,0,0,10,0.999999,0.9,5,50000,10000,5
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.00912,5.250500000000001,580119,0,580139,0/5,0,0,10000,0.9999,0.1,15,50000,10000,10
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.00912,5.250500000000001,580011,0,580032,0/5,0,0,10000,0.99,0.7,15,50000,10000,10
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.00912,5.250500000000001,580022,0,580040,0/5,0,0,1,0.9,0.7,5,50000,10000,5
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.00912,5.250500000000001,580046,0,580068,0/5,0,0,1,0.9999,0.7,20,50000,10000,10
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.00912,5.250500000000001,580026,0,580045,0/5,0,0,1,0.9,0.5,30,50000,10000,5
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.00912,5.250500000000001,580079,0,580099,0/5,0,0,10000,0.9999,0.1,30,50000,10000,10
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.00912,5.250500000000001,580052,0,580071,0/5,0,0,1,0.9999,0.1,30,50000,10000,10
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.00912,5.250500000000001,580118,0,580139,0/5,0,0,10000,0.999999,0.1,5,50000,10000,5
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.00912,5.250500000000001,580050,0,580069,0/5,0,0,1,0.9999,0.1,30,50000,10000,10
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.00912,5.250500000000001,580055,0,580078,0/5,0,0,1,0.99,0.1,30,50000,10000,10
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.00912,5.250500000000001,580068,0,580089,0/5,0,0,1,0.99,0.1,30,50000,10000,10
0,tiny3,True,True,SA_ROUTING_SA_SCHEDULING_COMB,4,2,11,13,15,18088,24,18064,17992,,0.00912,5.250500000000001,580035,0,580059,0/5,0,0,10000,0.999999,0.1,5,50000,10000,5
