,Testcase,Method,Total cost,Routing cost,Scheduling cost,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap
0,testcase0_4_2_4,CP_ROUTING_CP_SCHEDULING,285,4,281,0.08,8.67,96,1426,0/4,0,0
0,testcase0_4_2_4,SA_ROUTING_SA_SCHEDULING_COMB,285,4,281,0.08,8.67,30032,31096,0/4,0,0
0,testcase1_4_2_6,CP_ROUTING_CP_SCHEDULING,267,10,257,0.04,6.68,603,1461,0/4,0,0
0,testcase1_4_2_6,SA_ROUTING_SA_SCHEDULING_COMB,267,10,257,0.04,6.68,30021,31292,0/4,0,0
0,testcase2_4_2_8,CP_ROUTING_CP_SCHEDULING,107,4,103,0.99,9.38,141,1491,0/4,0,0
0,testcase2_4_2_8,SA_ROUTING_SA_SCHEDULING_COMB,107,4,103,0.99,9.38,30008,30851,0/4,0,0
0,testcase3_8_4_16,CP_ROUTING_CP_SCHEDULING,353,7,346,0.18,9.71,1295,2310,0/4,0,0
0,testcase3_8_4_16,SA_ROUTING_SA_SCHEDULING_COMB,419,7,412,0.18,9.71,30021,31073,0/4,0,0
0,testcase4_8_4_20,CP_ROUTING_CP_SCHEDULING,736,11,725,0.11,13.74,1368,2394,0/5,0,0
0,testcase4_8_4_20,SA_ROUTING_SA_SCHEDULING_COMB,937,11,926,0.11,13.74,30035,31131,0/5,0,0
0,testcase5_8_4_24,CP_ROUTING_CP_SCHEDULING,547,11,536,0.24,15.04,551,2587,0/9,0,0
0,testcase5_8_4_24,SA_ROUTING_SA_SCHEDULING_COMB,573,12,561,0.25,15.04,30028,31779,0/9,0,0
0,testcase6_16_8_28,CP_ROUTING_CP_SCHEDULING,/,/,/,/,/,/,/,,,
0,testcase6_16_8_28,SA_ROUTING_SA_SCHEDULING_COMB,700642,500068,200574,0.46,16.27,30086,32638,2/12,10,8
0,testcase7_16_8_32,CP_ROUTING_CP_SCHEDULING,654,17,637,0.12,8.89,3775,6411,0/13,0,0
0,testcase7_16_8_32,SA_ROUTING_SA_SCHEDULING_COMB,731,17,714,0.12,8.89,30040,32703,0/13,0,0
0,testcase8_16_8_36,CP_ROUTING_CP_SCHEDULING,/,/,/,/,/,/,/,,,
0,testcase8_16_8_36,SA_ROUTING_SA_SCHEDULING_COMB,1301088,1100082,201006,0.62,20.46,30235,32585,2/12,22,13
0,testcase9_24_12_50,CP_ROUTING_CP_SCHEDULING,/,/,/,/,/,/,/,,,
0,testcase9_24_12_50,SA_ROUTING_SA_SCHEDULING_COMB,100585,34,100551,0.34,13.37,33802,36758,1/12,0,0
0,testcase10_24_12_60,CP_ROUTING_CP_SCHEDULING,/,/,/,/,/,/,/,,,
0,testcase10_24_12_60,SA_ROUTING_SA_SCHEDULING_COMB,3702717,3600125,102592,0.64,15.27,30377,35254,1/20,72,20
0,testcase11_24_12_70,CP_ROUTING_CP_SCHEDULING,/,/,/,/,/,/,/,,,
0,testcase11_24_12_70,SA_ROUTING_SA_SCHEDULING_COMB,1401466,1100087,301379,0.96,18.57,30229,34368,3/20,22,6
0,testcase12_40_20_100,CP_ROUTING_CP_SCHEDULING,/,/,/,/,/,/,/,,,
0,testcase12_40_20_100,SA_ROUTING_SA_SCHEDULING_COMB,3601841,3300164,301677,0.60,15.22,35599,41164,3/24,66,6
0,testcase13_40_20_125,CP_ROUTING_CP_SCHEDULING,/,/,/,/,/,/,/,,,
0,testcase13_40_20_125,SA_ROUTING_SA_SCHEDULING_COMB,9104549,9000201,104348,0.60,16.62,31301,37893,1/33,180,12
0,testcase14_40_20_150,CP_ROUTING_CP_SCHEDULING,/,/,/,/,/,/,/,,,
0,testcase14_40_20_150,SA_ROUTING_SA_SCHEDULING_COMB,4302927,3800207,502720,1.15,22.90,30659,38535,5/32,76,15
