Testcase Name,Laxity Sum,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),Total Runtime (ms),E2E-Delay Sum,Pint,Hyperperiod
8_SW_4_ES_mode0_0_0_0_0.6,-1,-100.00,-100.00,0,3,-1,0,0
8_SW_4_ES_mode0_0_0_0_0.6,-1,-100.00,-100.00,0,2,-1,0,0
8_SW_4_ES_mode0_0_0_0_0.6,-1,-100.00,-100.00,0,2,-1,0,0
8_SW_4_ES_mode0_0_0_0_0.6,-1,-100.00,-100.00,0,3,-1,0,0
8_SW_4_ES_mode0_0_0_0_0.6,-1,-100.00,-100.00,0,4,-1,0,2000
8_SW_4_ES_mode0_0_0_0_0.6,-1,-100.00,-100.00,0,1,-1,0,1000
8_SW_4_ES_mode0_0_0_0_0.6,-1,-100.00,-100.00,0,0,-1,0,2000
8_SW_4_ES_mode0_0_0_0_0.6,-1,-100.00,-100.00,0,7,-1,0,2000
8_SW_4_ES_mode0_0_0_0_0.6,-1,-100.00,-100.00,0,4337,-1,0,2000
8_SW_4_ES_mode0_0_0_0_0.6,-1,-100.00,-100.00,0,10,-1,0,2000
8_SW_4_ES_mode0_0_0_0_0.6,-1,-100.00,-100.00,0,8,-1,0,1000
8_SW_4_ES_mode0_0_0_0_0.6,-1,-100.00,-100.00,0,7,-1,0,2000
8_SW_4_ES_mode0_0_0_0_0.6,-1,-100.00,-100.00,0,3,-1,0,2000
8_SW_4_ES_mode0_0_0_0_0.6,-1,-100.00,-100.00,0,9,-1,0,2000
8_SW_4_ES_mode0_0_0_0_0.6,-1,-100.00,-100.00,0,1,-1,0,2000
8_SW_4_ES_mode0_0_0_0_0.6,-1,-100.00,-100.00,0,2,-1,0,2000
